date,       link,                  time, program,   solver,             puzzle, format
2025-04-28, RHZCBqj6eFQ,       2m 12.41s, HSC,      josie,              3x3x3x3, ao5
2025-04-28, dhcCgtzbSS4,       1m 55.96s, HSC,      josie,              3x3x3x3, single
2025-04-28, 25UH9xUfvN8,       9m 42.03s, HSC,      nenri,              4x4x4x4, single
2025-04-28, NA9Cikhf_VE,       1m 54.05s, HSC,      josie,              3x3x3x3, single
2025-04-29, s6zMClx0xtw,       1m 48.18s, HSC,      hactar,             3x3x3x3, single
2025-04-29, c4pyg7G9JaA,       1m 46.92s, MC3D,     nenri,              3x3x3_1d, single
2025-04-29, izwzUmZM-Us,       1m 50.40s, HSC,      josie,              3x3x3x3, single
2025-04-29, nz2v5yhkHOs,          54.12s, HSC,      cubedude,           2x2x2x2, single
2025-04-29, kgsuBP4tL-Y,      12m 46.86s, HSC,      cubedude,           4x4x4x4, single
2025-04-29, pYVKoLN5uFM,      27m 51.24s, HSC,      cubedude,           5x5x5x5, single
2025-04-29, 9z9Wy_YtQY4,       3m 23.54s, MT,       cubedude,           hemimegaminx, single
2025-04-30, VmaJO6qDnyo,       1m 35.35s, MT,       nenri,              hemimegaminx, single
2025-04-29, p-Wry__xkR8,       7m 03.57s, HSC,      bruh,               3x3x3x3, single
2025-04-30, s7LEcQ7-7vs,      23m 44.13s, HSC,      nenri,              5x5x5x5, single
2025-05-01, v_1LIzFHqbA,       1m 53.77s, HSC,      nenri,              3x3x3x3, single
2025-05-03, mh6kZ2wPObY,      11m 54.12s, MT,       nenri,              klein_quartic, single
2025-05-01, BgEVzoj3UTI,       2m 06.87s, HSC,      nenri,              3x3x3x3, ao5
2025-05-04, t1dlpld6EiU,       1m 59.90s, HSC,      josie,              3x3x3x3, ao5
2025-05-04, QvK-41BhdfA,   1h 07m 05.83s, MC7D+MKB, cubedude,           3x3x3x3x3, single
2025-05-05, YX0B7lGmyT8,       1m 57.02s, HSC,      hactar,             3x3x3x3, ao5
2025-05-05, Rw2_iGCL8ho,       1m 49.62s, HSC,      josie,              3x3x3x3, single
